postnummer,NDI,NDI_rank
53140,-2.5043106,.0099784778
53141,.59418029,.76795149
53142,.78930557,.81578946
53143,-1.3644438,.081295244
53150,-.37337524,.35756212
53151,-.31600171,.38329095
53152,.48858747,.73292899
53153,-.35212293,.36695364
53154,-1.4896768,.065153591
53155,.73858863,.80336529
53156,.47229671,.72784191
53157,.18558304,.61778516
53158,1.1063871,.87888867
53159,1.3341936,.91547644
53170,.46408883,.72490704
53171,.1302657,.59371942
53173,.3614713,.68773234
53175,-.93517721,.16728625
53191,.130063,.59362161
53192,.086187042,.57307768
53193,-.073570162,.49647817
53194,-.46888021,.31578946
53195,.17118035,.61250246
53196,.31319082,.6699276
53197,-.052006803,.50577188
53198,.20251079,.6264919
53199,.071914926,.56662101
53230,-1.6258153,.051946782
53231,-1.3862383,.078849539
53232,-.29578596,.39307377
53233,.18249194,.61602426
53234,-1.5470151,.060555663
53235,-.79735535,.20397182
53236,-.52256,.29671296
53237,-1.0675232,.13441597
53238,-.10296783,.48424965
53272,-.34066528,.37174723
53273,.44652313,.71874386
53274,-.26989561,.40588927
53292,.34697649,.68108004
53293,.27313861,.65535122
53294,.0035276797,.53492469
53295,-.34095311,.37145373
53296,.02462597,.54451185
53330,-1.1318278,.12130699
53331,-1.7122496,.045000978
53332,-1.0389636,.1407748
53333,-.1441084,.46507531
53334,.18973479,.62023085
53372,-.31725848,.38250831
53374,-.6808843,.23605949
53391,-.36415756,.36176872
53392,-.11168219,.48014086
53394,-.14938951,.46311876
53395,.13386407,.5952847
53396,.011701187,.53873998
53397,-.29579493,.39297593
53430,-.074291669,.49598905
53431,-.49685204,.30561534
53432,-1.2292548,.10330659
53450,-1.8831311,.032674622
53460,-.78053349,.2083741
53461,-.52498335,.2957347
53462,-.59950107,.26648405
53473,-.41136432,.33995304
53490,-.50764382,.30209354
53491,-.26189756,.40960672
53492,-.44977084,.32371357
53493,-.19486806,.44179222
53494,-.17554502,.45020545
53495,-.0047851703,.53022891
53496,-.72200316,.2243201
53530,-1.6662903,.049109764
53591,-.15035142,.46233612
53592,-.72442871,.22343963
53593,-.36038691,.36313832
54130,-.030251723,.51780474
54131,.28074694,.65877521
54132,-.42496535,.33398551
54133,1.0498149,.86812758
54134,-.16590561,.45509684
54135,-.13458252,.46967325
54136,-.00425142,.5308159
54137,-1.3286598,.087164938
54138,-.0079499511,.52876151
54139,.40228447,.70260221
54140,.10928982,.58364314
54141,-.24740066,.41665035
54142,.14005026,.59870869
54143,-.91985536,.17110154
54144,.056823902,.55859911
54145,.40382075,.70309138
54146,-1.3031013,.09078458
